station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
28+50,2850,92,663,407,325,234,185,0,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,37,1093.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
29+00,2900,92,661,415,329,237,188,0,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,21,1105.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
29+50,2950,92,386,238,193,133,99,0,34,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,21,1097.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
30+00,3000,93,668,412,329,240,190,0,50,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,30,1116.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
30+50,3050,93,775,511,386,281,215,0,66,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,32,1130.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
31+00,3100,93,526,335,245,181,129,0,52,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,29,1145.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
31+50,3150,94,814,522,386,281,206,0,75,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,31,1141.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,86,315.3,0.0,9,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
32+00,3200,94,533,339,246,176,125,0,51,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,33,1137.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
32+50,3250,95,797,510,381,275,205,0,70,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,26,1138.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
33+00,3300,95,764,498,372,268,199,0,69,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,1134.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,211,201.8,0.0,8,"(0.0, 0.0, 0.0)",0.84,['dash_ratio'],--,
33+40,3340,95,660,459,301,242,163,9,70,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,1134.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,10,248.3,0.0,6,"(0.0, 0.0, 0.0)",0.48,['dash_ratio'],--,
33+50,3350,96,749,480,390,296,242,0,54,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1134.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,201.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
34+00,3400,96,819,535,427,329,264,1,64,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1131.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,45,220.5,0.0,3,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
34+50,3450,96,519,330,276,221,180,0,41,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1127.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,199.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
